Date,Price,Open,High,Low,Vol.,Change %
2008-09-11,707.25,699.50,714.75,699.50,0.44K,0.07%
2008-09-12,703.75,715.75,725.00,699.00,,-0.49%
2008-09-15,727.00,728.00,740.00,702.00,46.01K,3.30%
2008-09-16,690.00,725.00,732.00,686.00,58.15K,-5.09%
2008-09-17,725.75,693.25,730.00,686.00,59.17K,5.18%
2008-09-18,692.75,728.00,736.25,688.75,51.32K,-4.55%
2008-09-19,718.00,699.00,722.50,690.75,36.39K,3.64%
2008-09-22,737.75,721.75,757.75,715.00,44.32K,2.75%
2008-09-23,750.50,738.00,755.00,725.75,35.88K,1.73%
2008-09-24,730.25,750.25,760.00,723.25,36.28K,-2.70%
2008-09-25,736.25,731.00,741.00,720.00,29.26K,0.82%
2008-09-26,716.00,731.00,735.50,714.75,25.56K,-2.75%
2008-09-29,668.00,711.00,715.75,666.00,36.42K,-6.70%
2008-09-30,680.00,668.00,689.50,662.50,45.37K,1.80%
2008-10-01,669.75,683.25,690.25,666.00,31.60K,-1.51%
2008-10-02,636.00,669.75,677.75,630.00,37.37K,-5.04%
2008-10-03,640.25,636.75,654.25,631.25,28.24K,0.67%
2008-10-06,595.25,631.75,633.25,588.00,46.05K,-7.03%
2008-10-07,603.25,598.50,616.00,594.00,35.00K,1.34%
2008-10-08,608.00,604.25,619.50,586.25,29.56K,0.79%
2008-10-09,604.75,609.75,621.50,600.00,29.15K,-0.53%
2008-10-10,563.50,586.25,591.75,557.75,40.57K,-6.82%
2008-10-13,588.50,571.00,595.00,565.25,27.60K,4.44%
2008-10-14,573.00,597.00,609.50,570.00,28.67K,-2.63%
2008-10-15,555.75,573.25,579.75,554.00,37.00K,-3.01%
2008-10-16,555.25,554.75,561.50,543.00,37.72K,-0.09%
2008-10-17,566.25,564.75,571.25,555.00,27.55K,1.98%
2008-10-20,563.50,565.00,579.00,554.00,32.52K,-0.49%
2008-10-21,549.00,564.50,571.50,546.00,31.48K,-2.57%
2008-10-22,517.75,552.50,553.50,515.00,31.59K,-5.69%
2008-10-23,523.00,520.75,538.00,518.75,30.62K,1.01%
2008-10-24,516.25,534.00,539.50,496.50,36.31K,-1.29%
2008-10-27,529.50,525.50,532.00,502.50,29.85K,2.57%
2008-10-28,514.00,528.75,549.50,511.25,35.32K,-2.93%
2008-10-29,561.25,527.75,574.00,517.00,53.67K,9.19%
2008-10-30,538.00,560.50,578.50,530.50,44.78K,-4.14%
2008-10-31,536.25,540.00,545.00,524.00,44.91K,-0.33%
2008-11-01,542.50,538.75,587.75,496.00,827.28K,1.17%
2008-11-03,562.00,538.75,576.00,532.75,50.52K,3.59%
2008-11-04,572.50,552.75,587.75,547.50,38.27K,1.87%
2008-11-05,537.25,571.75,580.25,533.25,46.32K,-6.16%
2008-11-06,522.50,537.50,539.50,513.50,46.01K,-2.75%
2008-11-07,521.00,520.00,529.50,515.00,39.73K,-0.29%
2008-11-10,520.00,528.25,536.25,505.25,57.15K,-0.19%
2008-11-11,523.25,519.25,526.00,505.25,51.00K,0.63%
2008-11-12,533.00,522.00,555.00,507.00,71.63K,1.86%
2008-11-13,538.25,535.00,568.50,521.25,81.30K,0.98%
2008-11-14,554.25,550.00,559.75,529.00,51.83K,2.97%
2008-11-17,533.75,551.50,567.00,525.50,43.28K,-3.70%
2008-11-18,529.75,535.00,548.50,526.75,32.89K,-0.75%
2008-11-19,527.00,530.25,540.50,525.25,24.91K,-0.52%
2008-11-20,511.75,521.00,524.75,500.50,39.29K,-2.89%
2008-11-21,499.00,507.00,514.00,496.00,28.76K,-2.49%
2008-11-24,537.50,502.25,559.00,501.25,42.60K,7.72%
2008-11-25,534.00,537.75,542.50,528.50,28.22K,-0.65%
2008-11-26,535.50,537.25,546.50,525.50,31.94K,0.28%
2008-11-28,542.50,545.25,546.25,531.50,21.64K,1.31%
2008-12-01,509.75,541.75,543.00,503.50,19.31K,-6.04%
2008-12-02,509.75,508.00,519.75,504.50,14.58K,0.00%
2008-12-03,500.75,511.00,514.25,500.00,9.25K,-1.77%
2008-12-04,467.75,498.25,500.00,467.00,5.28K,-6.59%
2008-12-05,457.75,468.25,468.25,455.00,4.16K,-2.14%
2008-12-08,473.00,474.75,481.50,467.00,2.54K,3.33%
2008-12-09,472.25,475.25,478.50,472.00,2.37K,-0.16%
2008-12-10,492.50,471.75,492.50,471.75,0.92K,4.29%
